timestep,buyer,seller,price,quantity
450,Bollinger,Momentum,2419.110000,1
451,RSI,Momentum,2416.140000,1
454,Random_B,Momentum,2412.730000,1
456,Random_B,Momentum,2412.220000,1
458,RSI,Momentum,2414.050000,1
459,Random_B,Momentum,2416.290000,1
467,Random_B,Momentum,2412.040000,1
468,Random_B,Random_B,2416.040000,1
469,Random_B,Momentum,2413.500000,1
471,Momentum,Momentum,2413.210000,1
472,Random_B,Momentum,2416.990000,1
479,Random_B,Momentum,2407.540000,1
481,Momentum,Momentum,2408.380000,1
482,Random_B,Momentum,2409.430000,1
